metabolite_name	moverz_quant	ri	ri_type	pubchem_id	inchi_key	kegg_id	other_id	other_id_type
1-monoolein	129	952993	Fiehn	5283468			213963	BinBase
1-monostearin	399	959625	Fiehn	107036		D01947	202835	BinBase
2-hydroxybutanoic acid	131	258175	Fiehn	11266		C05984	199800	BinBase
2-hydroxyglutaric acid	129	506359	Fiehn	43		C02630	214409	BinBase
2-ketoisocaproic acid	200	310629	Fiehn	70		C00233	213388	BinBase
2-monopalmitin	218	889972	Fiehn	123409			233239	BinBase
2-monostearin NIST	218	948845	Fiehn				227282	BinBase
3-aminoisobutyric acid	102	309799	Fiehn	64956		C01205	213161	BinBase
3-hydroxybutanoic acid	191	278929	Fiehn	11266		C05984	199774	BinBase
3-hydroxypropionic acid	177	269975	Fiehn	68152		C01013	232649	BinBase
3-phenyllactic acid	193	516416	Fiehn	3848		C05607	213134	BinBase
5-aminovaleric acid	174	536304	Fiehn	138		C00431	238442	BinBase
acetohydroxamic acid	190	222307	Fiehn	1990		C06808	206309	BinBase
acetophenone NIST	105	238719	Fiehn	7410		C07113	211899	BinBase
adipic acid	111	475399	Fiehn	196		C06104	218815	BinBase
alanine	116	243537	Fiehn	602		C00041	199651	BinBase
alpha ketoglutaric acid	198	507734	Fiehn	51		C00026	200425	BinBase
aminomalonate	218	455886	Fiehn	100714		C00872	199624	BinBase
arabinose	217	546892	Fiehn	7044039		C00216	202065	BinBase
arabitol	103	566749	Fiehn	439255		C01904	200524	BinBase
arachidic acid	117	856203	Fiehn	10467		C06425	201822	BinBase
arachidonic acid	91	833292	Fiehn	444899		C00219	221144	BinBase
arginine + ornithine	142	619420	Fiehn	6322		C00062	199796	BinBase
asparagine	116	553791	Fiehn	439600		C00152	199805	BinBase
aspartic acid	232	480543	Fiehn	424		C00049	199612	BinBase
behenic acid	117	919675	Fiehn	8215		C08281	203290	BinBase
benzoic acid	179	338043	Fiehn	243		C00180	211970	BinBase
